,mlp_attn,zsub_attn,sub_attn
42,0.9414891098484849,0.9135606060606061,0.9129229797979798
1234,0.9424423926767677,0.9257930871212121,0.9175852272727273
2024,0.9387934027777778,0.9202351641414142,0.9254300820707071
2026,0.9442645202020202,0.9327107007575757,0.9162042297979798
7,0.9207607323232323,0.918125,0.9129821654040404
