,mlp_attn,mlp_norm01
42,0.9414891098484849,0.9540506628787879
1234,0.9424423926767677,0.9529048295454546
2024,0.9387934027777778,0.9514725378787878
2026,0.9442645202020202,0.9431534090909091
7,0.9207607323232323,0.9405555555555556
