,mlp_mean,z_mean,diff_mean,mahal_mean
42,0.9346898674242425,0.9009390782828283,0.8683901515151515,0.906160037878788
1234,0.9520438762626263,0.906869476010101,0.87146148989899,0.9169846906565657
2024,0.9458491161616163,0.9164322916666667,0.8481557765151515,0.9106455176767676
2026,0.9405555555555556,0.9054900568181818,0.8713652146464647,0.9061134785353535
7,0.9462373737373738,0.9029442866161617,0.8582907196969697,0.9112373737373737
