,mean,std
mlp_norm01_0,0.0049479166666666075,0.012239583333333347
mlp_norm01_1,-0.003645833333333237,0.003532463532877725
mlp_norm01_2,0.00651041666666663,0.005735082173319095
mlp_norm01_3,0.0026041666666667407,0.01021948795330656
mlp_norm01_4,0.004427083333333193,0.007729594833154084
mlp_norm01_5,0.024479166666666607,0.024267703660878624
mlp_norm01_6,0.011458333333333237,0.00719805987556524
mlp_norm01_7,-0.0031249999999998224,0.010724614730194804
mlp_norm01_8,0.10130208333333335,0.032887851641453844
mlp_norm01_9,0.03489583333333335,0.020807275370248096
mlp_norm01_10,0.013281250000000022,0.009054863880580064
mlp_norm01_11,-0.008854166666666607,0.008808090898587384
mlp_norm01_12,0.0026041666666666297,0.007725206757391318
mlp_norm01_13,-0.009895833333333215,0.013521619776819966
mlp_norm01_14,0.017187500000000022,0.006073908223797199
mlp_norm01_15,-0.003645833333333348,0.010937499999999977
mlp_norm01_16,0.0033854166666668073,0.004518060305442067
mlp_norm01_17,-0.0033854166666665853,0.0040427538271510565
mlp_norm01_18,0.01953125,0.00808970029531724
mlp_norm01_19,0.004427083333333415,0.005944120942975684
mlp_norm01_20,0.02213541666666663,0.009967530838023283
mlp_norm01_21,0.005468750000000022,0.010890897742878377
mlp_norm01_22,0.009895833333333215,0.004773516348912316
mlp_norm01_23,0.027083333333333348,0.014129854131510949
mlp_norm01_24,-0.008333333333333415,0.008699631816921887
mlp_norm01_25,0.043749999999999956,0.015086196206208586
mlp_norm01_26,0.006510416666666741,0.005493495601491951
mlp_norm01_27,0.03151041666666676,0.02368074011210255
mlp_norm01_28,0.013802083333333437,0.006489549892904749
mlp_norm01_29,0.006249999999999978,0.009331496284983767
mlp_norm01_30,0.019270833333333348,0.009036120610884085
mlp_norm01_31,0.01822916666666663,0.01199048378460555
mlp_norm01_32,-0.0028645833333331705,0.002957764763437656
mlp_norm01_33,0.054166666666666585,0.02678116694204671
mlp_norm01_34,0.008593749999999956,0.012760416666666686
mlp_norm01_35,0.001822916666666785,0.006593223386027165
mlp_norm01_36,0.015885416666666652,0.01304424977746687
mlp_norm01_37,0.014062499999999978,0.0038975597778895163
mlp_norm01_38,0.022916666666666807,0.013471372037893283
mlp_norm01_39,0.11744791666666665,0.07251049448111517
mlp_norm01_40,0.08697916666666661,0.019907827972517084
mlp_norm01_41,0.04270833333333324,0.03387819659989463
mlp_norm01_42,-0.0013020833333333703,0.013393115490233096
mlp_norm01_43,0.03749999999999998,0.016187781529083383
mlp_norm01_44,0.008072916666666652,0.015513928133965075
