,mlp_attn,mlp_mean,mlp_deepset
42,0.9414891098484849,0.9346898674242425,0.9294736426767677
1234,0.9424423926767677,0.9520438762626263,0.9514275568181818
2024,0.9387934027777778,0.9458491161616163,0.9486000631313132
2026,0.9442645202020202,0.9405555555555556,0.9129750631313132
7,0.9207607323232323,0.9462373737373738,0.9173484848484849
