mode,n_stim,acc,auc,balanced_acc,sen,spe,f1
z,25,0.79375,0.8872017045454546,0.7973958333333334,0.828125,0.7666666666666666,0.7944104757192338
z,50,0.80625,0.8823027146464646,0.8057291666666666,0.784375,0.8270833333333333,0.7952780197444831
z,100,0.80625,0.899676452020202,0.806802398989899,0.805965909090909,0.8076388888888888,0.7990847501791414
learned,25,0.7875000000000001,0.92232086489899,0.7922506313131313,0.927556818181818,0.6569444444444444,0.8089317767018114
learned,50,0.7999999999999999,0.9118702651515151,0.7921717171717171,0.8017045454545455,0.7826388888888889,0.7938156046075883
learned,100,0.7374999999999999,0.941272095959596,0.7607007575757576,0.931818181818182,0.5895833333333333,0.7873850073123556
