,diff_mean,z_mean,mahal_mean
42,0.8683901515151515,0.9009390782828283,0.906160037878788
1234,0.87146148989899,0.906869476010101,0.9169846906565657
2024,0.8481557765151515,0.9164322916666667,0.9106455176767676
2026,0.8713652146464647,0.9054900568181818,0.9061134785353535
7,0.8582907196969697,0.9029442866161617,0.9112373737373737
