run,n,ece,brier,auc
proposal/z_mean,160,0.08875270761163849,0.13551499813135118,0.88375
proposal/diff_mean,160,0.10084110478637741,0.1645810964024656,0.8407812499999999
proposal/mahal_mean,160,0.08327538296471174,0.12571176843421794,0.90296875
proposal/mlp_attn,160,0.15149772431263953,0.16616347813201643,0.85828125
proposal/mlp_norm01,160,0.08895979848975914,0.1173428173587076,0.92734375
proposal/mlp_mean,160,0.14145668277878942,0.14261072519484325,0.8878125000000001
