run,n,probe_auc,probe_auc_std,silhouette
proposal/mlp_attn,160,0.91625,0.023351927115336773,0.06640304625034332
proposal/mlp_norm01,160,0.9356249999999999,0.021018964651000283,0.11098562180995941
proposal/z_mean,160,0.86875,0.04570626324695556,0.07784687727689743
proposal/mahal_mean,160,0.8768750000000001,0.046414403744958276,0.07867132872343063
