,social,synthetic,natural,manipulated,overall
raw,0.7313228720725257,0.7086750025648918,0.7319881055213019,0.7279917919455987,0.7270659683748846
z,0.7291875472173256,0.7089087539755821,0.7269807273205651,0.7263025702620037,0.7245384214373654
